Event	ID	Name			Wwise Object Path	Notes
	118877035	vallabaja			\16532\vallabaja	
	369285956	ratdie			\14258\ratdie	
	1005958706	starup			\16532\starup	
	1268498129	imanup			\14258\imanup	
	1558471490	basurametal			\16532\basurametal	
	2103114554	dosup			\16532\dosup	
	2329400853	basuraverde			\16532\basuraverde	
	3271273223	valladoble			\16532\valladoble	
	3376098376	imanidle			\14258\imanidle	
	3551307733	vallaalta			\16532\vallaalta	
	3720716434	cono			\16532\cono	
	3889758431	rataviva			\14258\rataviva	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	583290668	BasuraMetal_Chocar_3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Basura metal 3_702C784C.wem		\Actor-Mixer Hierarchy\16532\Basurero de metal\BasuraMetal_Chocar_3		144160
	702754407	Valla _Baja_Chocar_3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla _Baja_Chocar_3_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Baja\Valla _Baja_Chocar_3		197960
	770749813	Cono_Chocar_1	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Cono_Chocar_1_0C6507A3.wem		\Actor-Mixer Hierarchy\16532\Cono\Cono_Chocar_1		120160
	790019668	Cono_Chocar_2	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Cono_Chocar_2_32A5CD10.wem		\Actor-Mixer Hierarchy\16532\Cono\Cono_Chocar_2		216160
	804666374	starup	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\starup_DF3F31DC.wem		\Actor-Mixer Hierarchy\16532\starup		1920160
	823373834	Valla_Doble_Chocar_2	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla_Doble_Chocar_2_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Doble\Valla_Doble_Chocar_2		221460
	1000781507	Valla _Baja_Chocar_2	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla _Baja_Chocar_2_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Baja\Valla _Baja_Chocar_2		250960
	1024902077	Valla _Baja_Chocar_1	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Valla _Baja_Chocar_1_818F3B66.wem		\Actor-Mixer Hierarchy\16532\Valla_Baja\Valla _Baja_Chocar_1		198060
	1029030133	Raton16	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Raton16_818F3B66.wem		\Actor-Mixer Hierarchy\14258\Raton16		2646424
	1056369216	Basura_Verde_Chocar_2	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Basura_Verde_Chocar_2_4AE6109F.wem		\Actor-Mixer Hierarchy\16532\Basurero verde\Basura_Verde_Chocar_2		192160
	1066955445	Basura_Verde_Chocar_3	Y:\Documents\GitHub\Proyecto_Final-EJ\APII_Ch18_Emmanuel_16532\.cache\Mac\SFX\Basura_Verde_Chocar_3_D62458F1.wem		\Actor-Mixer Hierarchy\16532\Basurero verde\Basura_Verde_Chocar_3		279260

